Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027465985.1	5.0	6.0	1.0	3.0	5.0	6.0	4.0	9.0	2.0	0.0	4.0	5.0	3.0	5.0	4.0	5.0	2.0	0.0	3.0
XP_027475381.1	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	15.0	1.0	16.0	7.0	10.0	1.0	5.0	3.0	5.0	1.0	3.0
XP_027478938.1	5.0	13.0	14.0	11.0	7.0	4.0	8.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
XP_027462374.1	1.0	1.4	0.4	1.1	5.0	1.6	2.8	4.4	7.2	0.7	10.0	5.6	7.0	0.6	8.2	11.7	1.1	0.6	1.0
XP_027429409.1	0.0	4.0	5.0	4.0	4.0	3.0	1.0	7.0	7.0	0.0	1.0	3.0	4.0	1.0	8.0	6.0	11.0	0.0	2.0
XP_027434845.1 (+1)	3.0	3.0	0.0	0.0	8.0	8.0	2.0	7.0	8.0	0.0	15.0	12.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0
XP_027438758.1 (+1)	4.0	6.0	7.0	10.0	11.0	16.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027462801.1	3.0	1.0	2.0	1.0	3.0	2.0	5.0	4.0	10.0	2.0	11.0	3.0	7.0	0.0	8.0	7.0	1.0	1.0	0.0
XP_027423465.1 (+2)	4.0	11.0	9.0	10.0	10.0	2.0	3.0	3.0	3.0	0.0	0.0	1.0	3.0	2.0	2.0	5.0	0.0	0.0	2.0
XP_027424385.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	36.0	31.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
XP_027443553.1	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	12.0	6.0	7.0	0.0	3.0	15.0	4.0	1.0	11.0
XP_027457399.1 (+1)	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	13.0	0.0	0.0	10.0	24.0	2.0	2.0	4.0	5.0	5.0
XP_027457936.1	4.0	1.0	2.0	3.0	5.0	2.0	10.0	4.0	6.0	1.0	10.0	3.0	4.0	1.0	4.0	4.0	3.0	1.0	2.0
XP_027462946.1	0.0	0.0	0.0	0.0	0.0	2.0	0.0	12.0	3.0	1.0	14.0	1.0	9.0	3.0	16.0	5.0	1.0	0.0	3.0
XP_027429008.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	0.0	5.0	5.0	2.0	0.0	0.0	24.0	3.0	9.0	0.0	7.0
XP_027442387.1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	1.0	1.0	17.0	26.0	2.0	0.0	6.0	1.0	1.0
XP_027471826.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	8.0	4.0	2.0	9.0	9.0	12.0	4.0	4.0	2.0	8.0
XP_027474744.1	3.0	6.0	0.0	0.0	10.0	9.0	5.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	27.0	0.0	0.0
XP_027477194.1	9.0	9.0	1.0	5.0	5.0	6.0	8.0	2.0	1.0	2.0	3.0	4.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0
XP_027479623.1	9.0	4.0	9.0	6.0	9.0	4.0	8.0	3.0	1.0	0.0	1.0	3.0	1.0	0.0	2.0	2.0	1.0	1.0	5.0
XP_027457521.1_family	1.9	2.9	0.3	0.6	2.9	4.2	3.2	1.9	15.0	0.0	13.8	7.5	3.3	0.3	5.3	3.3	0.9	0.3	0.9
XP_027473206.1	4.0	10.0	7.0	8.0	9.0	6.0	8.0	2.0	1.0	0.0	4.0	2.0	2.0	1.0	0.0	1.0	0.0	1.0	2.0
XP_027476508.1	1.0	4.0	0.0	0.0	2.0	3.5	2.0	4.0	12.0	0.5	10.2	9.0	5.0	0.0	7.5	6.0	0.0	0.0	0.5
XP_027457287.1 (+1)	8.0	7.0	6.0	5.0	7.0	7.0	10.0	5.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0
XP_027468987.1 (+2)	4.0	10.0	10.0	11.0	9.0	7.0	9.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
XP_027443934.1 (+2)	4.0	5.0	4.0	5.0	13.0	6.0	4.0	10.0	0.0	0.0	4.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0
XP_027454871.1	5.0	5.0	4.0	5.0	4.0	4.0	2.0	7.0	0.0	4.0	0.0	1.0	3.0	5.0	4.0	2.0	5.0	2.0	4.0
XP_027474641.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	8.0	6.0	0.0	14.0	8.0	1.0	1.0	10.0
XP_027478946.1	2.0	7.0	7.0	9.0	11.0	7.0	1.0	2.0	3.0	0.0	8.0	2.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0
XP_027427230.1 (+1)	0.0	2.3	0.0	0.0	1.2	2.0	0.0	0.0	8.1	1.0	5.3	2.3	8.5	2.0	22.4	9.5	0.0	0.0	1.5
XP_027448210.1	1.0	1.0	5.0	0.0	4.0	0.0	4.0	6.0	7.0	0.0	8.0	3.0	5.0	0.0	13.9	5.8	0.0	0.0	2.0
XP_027458362.1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0	4.0	5.0	0.0	0.0	15.0	4.0	21.0	0.0	3.0
XP_027471795.1 (+3)	2.0	3.0	5.0	3.0	1.0	1.0	0.0	0.0	7.0	1.0	9.0	9.0	4.0	0.0	7.0	8.0	1.0	1.0	3.0
XP_027456154.1	0.0	2.5	0.0	2.0	0.0	1.1	1.1	5.5	14.7	0.0	13.6	16.7	6.3	0.0	0.0	0.0	0.0	0.5	0.0
XP_027455734.1	2.0	5.0	6.0	10.0	3.0	5.0	8.0	5.0	3.0	0.0	4.0	1.0	1.0	0.0	1.0	4.0	4.0	0.0	2.0
XP_027470652.1	0.0	0.0	0.0	0.0	0.0	3.0	1.0	3.0	12.0	0.0	27.0	10.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0
XP_027475298.1_family	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	5.0	0.0	16.0	6.0	7.0	2.0	11.0	7.0	3.0	1.0	2.0
XP_027467002.1	2.0	10.0	6.0	11.0	5.0	4.0	6.0	3.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	3.0	4.0	0.0	2.0
XP_027479062.1	4.0	1.0	3.0	1.0	19.0	9.0	8.0	7.0	0.0	0.0	4.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0
XP_027449924.1 (+1)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	4.0	4.8	6.0	8.0	6.9	5.8	5.0	6.0	7.0
XP_027441677.1	4.0	8.0	1.0	1.0	14.0	15.0	9.0	6.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027454631.1	2.0	7.0	1.0	1.0	8.0	7.0	2.0	12.0	5.0	0.0	3.0	1.0	3.0	0.0	5.0	5.0	0.0	0.0	0.0
XP_027457733.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	21.0	12.0	1.0	3.0	1.0	5.0	6.0	2.0	4.0
XP_027462234.1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	4.0	8.0	8.0	5.0	1.0	9.0	9.0	4.0	0.0	7.0
XP_027462867.1 (+1)	0.0	2.0	1.0	9.0	19.0	16.0	5.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0
XP_027470179.1	5.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	9.0	10.0	7.0	0.0	3.0	4.0	3.0	1.0	5.0
XP_027435464.1	3.0	9.0	5.0	7.0	9.0	10.0	4.0	2.0	1.0	0.0	2.0	5.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0
XP_027435908.1	4.0	0.0	0.0	1.0	4.0	6.0	3.0	12.0	6.0	0.0	4.0	3.0	6.0	0.0	3.0	5.0	2.0	0.0	2.0
XP_027444924.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.2	2.0	11.7	3.2	4.5	0.0	14.2	8.2	2.0	2.1	1.0
XP_027448342.1 (+3)	2.0	3.0	1.0	0.0	4.0	2.0	1.0	3.0	8.3	2.0	9.4	5.6	6.3	1.0	3.3	3.1	3.0	2.0	0.0
XP_027423778.1	9.0	6.0	3.0	0.0	9.0	12.0	6.0	9.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
XP_027435222.1	0.0	1.0	0.0	0.0	0.0	1.0	2.0	3.0	7.0	0.0	11.0	8.0	6.0	0.0	7.0	12.0	2.0	0.0	0.0
XP_027442462.1	3.0	6.0	2.0	0.0	10.0	6.0	6.0	4.0	10.0	0.0	7.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0
XP_027443054.1 (+1)	1.0	11.0	0.0	2.0	9.0	9.0	2.0	8.0	2.0	0.0	10.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0
XP_027444278.1 (+2)	0.0	0.0	0.0	0.0	3.0	2.0	5.0	6.0	7.0	0.0	7.0	2.0	3.0	0.0	12.0	9.0	0.0	2.0	2.0
XP_027451451.1	9.0	9.0	2.0	3.0	8.0	7.0	4.0	6.0	0.0	0.0	5.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0
XP_027460216.1	3.0	5.0	1.0	5.0	9.0	5.0	3.0	5.0	4.0	0.0	5.0	2.0	6.0	2.0	1.0	1.0	1.0	0.0	2.0
XP_027427272.1 (+2)	0.7	2.3	0.3	1.7	0.7	1.3	0.8	5.0	6.1	0.0	9.8	9.5	9.9	1.3	2.2	3.5	4.0	0.0	0.0
XP_027446258.1	11.0	5.0	6.0	17.0	2.0	9.1	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0
XP_027428638.1	5.0	8.0	9.0	4.0	8.0	12.0	5.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
XP_027428728.1	4.0	4.0	0.0	5.0	16.0	7.0	5.0	8.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0
XP_027429640.1 (+1)	6.0	3.0	4.0	5.0	3.0	7.0	5.0	6.0	0.0	0.0	1.0	7.0	2.0	1.0	0.0	4.0	1.0	0.0	4.0
XP_027437547.1 (+2)	1.0	0.0	0.0	4.0	1.0	6.0	9.0	12.0	0.0	2.0	2.0	0.0	6.0	5.0	2.0	2.0	1.0	4.0	2.0
XP_027439861.1	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	7.0	3.0	7.0	3.0	8.0	10.0	2.0	5.0	9.0
XP_027452658.1	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	10.0	1.0	18.0	4.0	2.0	0.0	4.0	1.0	1.0	0.0	13.0
XP_027462506.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	9.0	0.0	7.6	26.0	3.8	0.0	4.0	6.0	0.0	0.0	0.0
XP_027438148.1	3.0	2.7	3.0	3.0	4.0	3.3	5.0	4.0	10.0	1.0	5.0	6.0	2.0	2.0	1.0	2.0	1.0	0.0	0.0
XP_027425772.1	1.0	5.0	1.0	3.0	10.0	4.0	2.0	1.0	2.0	0.0	5.0	6.0	4.0	8.0	2.0	2.0	1.0	0.0	1.0
XP_027436025.1	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	10.0	2.0	10.0	8.0	5.0	0.0	5.0	6.0	3.0	1.0	3.0
XP_027438152.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	1.0	0.0	0.0	33.0	9.0	0.0	0.0	1.0
XP_027455597.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	8.0	13.0	6.0	0.0	4.0	7.0	2.0	0.0	7.0
XP_027467938.1 (+1)	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	12.0	13.0	8.0	0.0	4.0	7.0	1.0	1.0	3.0
XP_027471631.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	3.0	6.0	7.0	3.0	0.0	5.0	6.0	3.0	0.0	3.0
XP_027476035.1	10.0	8.0	3.0	2.0	5.0	12.0	10.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027477813.1 (+2)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	1.0	0.0	4.0	4.0	0.0	1.0	2.0	1.0	21.0	0.0	3.0
XP_027480204.1	3.0	6.0	9.0	3.0	5.0	6.0	16.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
XP_027480861.1	2.0	0.5	0.0	0.0	1.0	1.0	0.0	8.0	8.8	0.0	9.3	4.5	5.0	0.5	7.2	6.0	0.0	0.0	4.0
XP_027436924.1 (+3)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	2.0	14.0	5.0	12.0	0.0	5.0	7.0	1.0	1.0	2.0
XP_027446074.1 (+1)	2.0	0.0	0.0	0.0	0.0	2.0	3.0	10.0	0.0	0.0	8.0	12.0	6.0	0.0	1.0	5.0	2.0	1.0	5.0
XP_027453738.1 (+2)	3.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	16.0	5.0	6.0	2.0	4.0	5.0	6.0	0.0	2.0
XP_027459878.1	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	31.0	0.0	8.0	4.0	3.0	0.0	1.0	6.0	0.0	0.0	0.0
XP_027466768.1	1.0	3.0	4.0	0.0	5.0	4.0	1.0	2.0	13.0	0.0	5.0	3.0	3.0	0.0	4.0	6.0	0.0	0.0	3.0
XP_027477970.1 (+1)	0.0	0.0	0.0	0.0	2.0	1.0	0.0	5.0	3.0	0.0	19.0	12.0	5.0	1.0	6.0	3.0	0.0	0.0	0.0
XP_027480821.1	2.0	4.0	1.0	6.0	12.0	9.0	6.0	4.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0
XP_027434921.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8.3	0.5	9.0	6.0	1.5	0.0	16.6	10.5	0.0	1.0	1.0
XP_027428037.1	0.0	3.0	1.0	2.0	2.0	4.0	2.0	0.0	6.0	0.0	11.0	9.0	3.0	0.0	2.0	8.0	0.0	0.0	3.0
XP_027429683.1	1.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	8.0	0.0	9.0	5.0	4.0	0.0	7.0	4.0	2.0	1.0	5.0
XP_027431653.1 (+2)	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	2.0	2.0	0.0	26.0	16.0	0.0	0.0	0.0
XP_027437113.1	5.0	9.0	6.0	6.0	6.0	3.0	4.0	2.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0
XP_027450775.1 (+1)	5.0	3.0	4.0	3.0	7.0	5.0	2.0	2.0	4.0	0.0	2.0	5.0	2.0	0.0	1.0	5.0	3.0	2.0	1.0
XP_027459865.1	1.0	0.0	0.0	2.0	2.0	3.0	4.0	2.0	1.0	2.0	7.0	3.0	5.0	5.0	4.0	1.0	3.0	5.0	6.0
XP_027465845.1	4.0	8.0	4.0	5.0	4.0	6.0	3.0	2.0	2.0	0.0	3.0	3.0	0.0	0.0	2.0	4.0	2.0	1.0	3.0
XP_027466757.1	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	14.0	3.0	5.0	0.0	8.0	10.0	0.0	0.0	3.0
XP_027468217.1	1.0	6.0	4.0	3.0	1.0	2.0	1.0	1.0	4.0	0.0	3.0	8.0	5.0	0.0	5.0	7.0	0.0	1.0	4.0
XP_027475616.1	1.0	3.0	1.0	4.0	2.0	1.0	4.0	3.0	7.0	1.0	7.0	7.0	1.0	2.0	2.0	1.0	6.0	1.0	2.0
XP_027481150.1	2.0	2.0	0.0	0.0	4.0	4.0	2.0	5.0	5.0	2.0	4.0	3.0	4.0	1.0	7.0	5.0	2.0	2.0	2.0
XP_027435469.1 (+3)	3.0	2.0	7.0	1.0	1.0	3.0	14.0	14.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0
XP_027445314.1	0.0	0.0	3.0	3.0	1.0	5.0	1.0	1.0	10.0	0.0	5.0	3.0	1.0	0.0	7.0	10.0	2.0	0.0	3.0
XP_027463138.1	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	10.0	0.0	21.0	6.0	4.0	0.0	5.0	4.0	0.0	0.0	0.0
XP_027464114.1 (+1)	7.0	8.0	2.0	3.0	3.0	2.0	2.0	1.0	5.0	0.0	11.0	2.0	4.0	0.0	1.0	4.0	0.0	0.0	0.0
XP_027468054.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	14.0	3.0	5.0	0.0	5.0	11.0	4.0	0.0	1.0
XP_027480285.1 (+4)	1.0	1.0	0.0	0.0	3.0	5.0	2.0	3.0	5.0	0.0	6.0	7.0	4.0	2.0	7.0	2.0	3.0	2.0	2.0
XP_027481784.1	1.1	1.0	0.0	0.0	8.3	1.1	2.1	4.1	7.3	2.0	3.3	4.4	4.9	3.3	2.5	4.2	2.2	1.2	2.2
XP_027439754.1 (+8)	4.0	4.0	3.0	6.0	6.0	3.0	4.0	3.0	3.0	0.0	6.0	1.0	3.0	0.0	3.0	3.0	0.0	0.0	2.0
XP_027442868.1	1.0	5.0	6.0	4.0	3.0	4.0	3.0	3.0	1.0	0.0	5.0	1.0	5.0	1.0	5.0	3.0	2.0	0.0	2.0
XP_027476734.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	13.0	4.0	9.0	0.0	5.0	7.0	1.0	0.0	4.0
XP_027479341.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	4.0	10.0	0.0	4.0	2.0	6.0	10.0	1.0	1.0	3.0
XP_027482242.1	3.0	4.0	4.0	5.0	7.0	10.0	5.0	7.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0
XP_027435379.1	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	4.7	0.0	11.4	6.7	3.0	0.0	12.0	10.5	1.0	0.0	1.0
XP_027438174.1	0.0	0.0	0.0	1.0	1.0	3.0	2.0	3.0	15.0	0.0	6.0	2.0	2.0	0.0	10.0	8.0	0.0	0.0	0.0
XP_027463611.1 (+5)	7.0	9.0	0.0	0.0	12.0	8.0	0.0	3.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0
XP_027478609.1	1.0	6.0	7.0	3.0	1.0	1.0	1.0	1.0	6.0	1.0	9.0	3.0	2.0	3.0	4.0	2.0	1.0	0.0	1.0
XP_027458047.1 (+1)	0.5	2.8	1.0	1.5	1.0	0.0	0.0	1.0	7.0	2.5	9.0	10.3	9.6	0.5	0.5	0.0	1.5	3.0	1.0
XP_027435318.1	5.0	1.0	7.0	4.0	9.0	2.0	0.0	1.0	3.0	6.0	0.0	4.0	1.0	0.0	4.0	0.0	0.0	4.0	1.0
XP_027442913.1 (+1)	3.0	7.0	8.0	8.0	7.0	4.0	4.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0
XP_027456946.1 (+13)	0.0	0.0	2.0	0.0	4.0	8.0	3.0	8.0	3.0	0.0	5.0	2.0	2.0	0.0	5.0	6.0	1.0	0.0	3.0
XP_027462720.1 (+1)	2.0	5.0	7.0	11.0	11.0	6.0	4.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027462898.1	6.0	0.0	4.0	5.0	6.0	4.0	8.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	0.0	1.0
XP_027472514.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	17.0	3.0	4.0	0.0	3.0	9.0	0.0	0.0	0.0
XP_027443517.1_family	2.0	1.0	0.0	0.0	1.0	2.0	3.0	8.0	4.0	0.0	8.0	3.0	1.0	0.0	8.0	7.0	1.0	1.0	2.0
XP_027470236.1_family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	10.0	5.0	15.0	3.0	1.0	6.0	2.0	0.0	2.0
XP_027428110.1	1.0	1.0	1.0	0.0	2.0	8.0	1.0	12.0	4.0	0.0	5.0	4.6	6.0	0.0	2.0	3.0	0.0	0.0	1.0
XP_027433851.1	0.0	7.2	0.0	2.8	16.9	15.7	3.0	4.3	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0
XP_027439097.1	1.2	0.2	0.0	0.4	0.2	0.2	0.7	0.6	8.5	1.1	7.3	5.2	6.5	1.0	9.2	5.4	1.0	0.2	2.2
XP_027446784.1 (+1)	3.0	0.0	0.5	0.0	0.0	1.0	0.5	0.5	6.0	2.0	12.5	0.0	1.5	0.0	7.0	5.0	3.0	1.5	7.0
XP_027424781.1 (+1)	4.0	6.0	4.0	5.0	5.0	6.0	5.0	2.0	1.0	0.0	1.0	3.0	2.0	0.0	2.0	3.0	1.0	0.0	1.0
XP_027430200.1	4.0	5.0	5.0	7.0	10.0	9.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
XP_027455618.1	0.0	1.0	0.0	0.0	1.0	4.0	4.0	3.0	9.0	1.0	9.0	8.0	4.0	4.0	2.0	0.0	1.0	0.0	0.0
XP_027459676.1 (+2)	0.0	6.0	2.0	6.0	15.0	10.0	6.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027462919.1 (+1)	1.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	5.0	3.0	9.0	4.0	6.0	4.0	4.0	4.0	0.0	0.0	5.0
XP_027473155.1	1.0	1.0	0.0	0.0	4.0	0.0	0.0	3.0	5.0	0.0	10.0	3.0	6.0	9.0	7.0	1.0	0.0	0.0	1.0
XP_027477780.1	5.0	1.0	3.0	0.0	1.0	7.0	2.0	3.0	1.0	0.0	4.0	4.0	1.0	3.0	4.0	4.0	5.0	1.0	2.0
XP_027436515.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	8.0	4.0	3.0	0.5	6.0	9.0	2.0	6.0	3.0
XP_027449182.1	5.0	6.0	15.0	7.0	3.0	3.1	4.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0
XP_027432027.1	0.0	10.0	3.0	0.0	9.0	3.0	3.0	6.0	4.0	0.0	4.0	0.0	0.0	1.0	0.0	4.0	3.0	0.0	0.0
XP_027438969.1	3.0	3.0	2.0	3.0	8.0	6.0	5.0	9.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	3.0
XP_027449708.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	9.0	4.0	5.0	2.0	10.0	4.0	1.0	2.0	3.0
XP_027456178.1 (+1)	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	8.0	4.0	1.0	0.0	17.0	9.0	1.0	0.0	2.0
XP_027458632.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	12.0	2.0	10.0	2.0	5.0	4.0	1.0	0.0	2.0
XP_027460745.1	2.0	5.0	6.0	5.0	6.0	5.0	4.0	2.0	1.0	0.0	5.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0
XP_027470637.1	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0	0.0	1.0	10.0	15.0	0.0	0.0	5.0	7.0	1.0	0.0
XP_027477621.1 (+1)	2.0	6.0	5.0	5.0	3.0	3.0	4.0	0.0	3.0	0.0	6.0	3.0	5.0	0.0	1.0	3.0	0.0	0.0	1.0
XP_027479911.1	3.0	5.0	8.0	4.0	6.0	8.0	6.0	4.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
XP_027423426.1	9.0	4.0	8.0	7.0	7.0	3.0	3.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
XP_027425320.1 (+1)	4.0	5.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	0.0	7.0	4.0	2.0	0.0	2.0	3.0	1.0	1.0	1.0
XP_027444172.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	7.0	1.0	10.0	1.0	4.0	0.0	7.0	8.0	1.0	0.0	2.0
XP_027470645.1	5.0	7.0	2.0	3.0	4.0	5.0	6.0	3.0	4.0	0.0	2.0	2.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0
XP_027471762.1	3.0	4.0	0.0	0.0	5.0	4.0	0.0	11.0	6.0	0.0	1.0	0.0	3.0	1.0	4.0	2.0	0.0	1.0	4.0
XP_027476413.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	11.0	11.0	6.0	0.0	6.0	8.0	0.0	0.0	0.0
XP_027446009.1	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	8.7	1.0	5.5	11.8	7.0	0.0	7.7	1.2	0.0	0.0	1.0
XP_027464627.1	0.5	2.0	0.0	0.0	3.5	3.3	2.0	8.3	9.4	0.0	7.1	5.5	4.7	1.5	0.0	1.0	0.0	0.0	0.0
XP_027457487.1	3.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	5.0	0.0	9.3	7.0	7.4	1.0	5.0	4.0	2.0	0.0	1.0
XP_027450065.1 (+1)	3.4	3.0	2.0	2.9	5.8	2.0	2.0	2.0	4.4	1.0	6.3	4.9	2.0	1.0	2.0	1.0	2.0	0.0	1.0
XP_027435156.1	0.0	2.0	0.0	0.0	7.0	3.0	0.0	7.0	6.0	0.0	4.0	7.0	7.0	0.0	2.0	3.0	0.0	0.0	0.0
XP_027438106.1 (+3)	2.0	2.0	3.0	3.0	5.0	2.0	5.0	3.0	2.0	0.0	5.0	2.0	2.0	0.0	4.0	4.0	2.0	0.0	2.0
XP_027441182.1	3.0	6.0	2.0	2.0	11.0	13.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027473987.1 (+1)	2.0	1.0	1.0	1.0	2.0	0.0	0.0	15.0	2.0	0.0	5.0	8.0	2.0	2.0	2.0	4.0	0.0	1.0	0.0
XP_027476294.1 (+1)	2.0	5.0	4.0	5.0	8.0	11.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
XP_027482148.1	3.0	5.0	0.0	0.0	11.0	8.0	2.0	3.0	6.0	0.0	5.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
