Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027475638.1	28.0	44.0	27.0	50.0	56.0	38.0	28.0	15.0	12.0	0.0	24.0	22.0	10.0	0.0	14.0	24.0	13.0	2.0	24.0
XP_027439213.1_family	7.0	0.0	1.0	0.0	0.0	3.0	8.0	16.0	38.0	41.0	40.0	29.0	74.0	37.0	22.0	27.0	29.0	17.0	34.0
XP_027438762.1 (+9)	14.6	21.7	21.6	34.0	28.0	25.0	23.0	13.0	26.0	17.0	38.0	28.0	26.0	5.0	20.0	29.0	14.0	10.0	25.0
XP_027467259.1	29.0	11.0	21.0	4.0	7.0	25.0	34.0	40.0	26.0	12.0	24.0	45.0	23.0	2.0	18.0	54.0	15.0	9.0	17.0
XP_027447627.1	11.0	15.0	11.0	10.0	29.0	27.0	16.0	55.0	50.0	10.0	39.0	17.0	22.0	12.0	33.0	17.0	28.0	4.0	6.0
XP_027469891.1_family	13.0	25.0	15.0	11.0	38.0	39.0	20.0	18.0	40.0	8.0	42.0	27.0	29.0	9.0	24.0	18.0	16.0	5.0	9.0
XP_027475504.1	42.0	18.0	21.0	9.0	21.0	39.0	28.0	25.0	9.0	21.0	8.0	5.0	35.0	27.0	17.0	17.0	15.0	16.0	22.0
XP_027428032.1	19.0	14.0	22.0	9.0	13.0	22.0	29.0	38.0	18.0	6.0	36.0	35.0	20.0	12.0	24.0	29.0	13.0	18.0	16.0
XP_027435502.1	9.0	7.0	6.0	6.0	9.0	7.0	9.0	5.0	21.0	13.0	43.0	88.0	27.0	17.0	25.0	22.0	48.0	4.0	27.0
XP_027462273.1 (+1)	30.0	11.0	5.0	8.0	8.0	10.0	6.0	12.0	27.0	41.0	25.0	20.0	37.0	37.0	22.0	19.0	16.0	20.0	31.0
XP_027459270.1	25.0	39.0	20.0	24.0	34.0	28.0	38.0	27.0	7.0	4.0	13.0	17.0	14.0	10.0	12.0	21.0	15.0	10.0	26.0
XP_027475703.1 (+1)	8.0	16.0	8.0	16.0	20.0	10.0	1.0	7.0	0.0	0.0	19.0	29.0	2.0	3.0	12.0	38.0	185.0	0.0	3.0
XP_027465324.1	12.0	36.0	4.0	9.0	44.0	35.0	17.0	23.0	45.0	7.0	24.0	20.0	27.0	5.0	28.0	19.0	3.0	1.0	6.0
XP_027478978.1_family	0.0	3.0	8.0	0.0	0.0	0.0	1.0	9.0	26.0	25.0	35.0	33.0	13.0	9.0	58.0	59.0	54.0	11.0	20.0
XP_027446943.1	10.0	19.0	6.0	11.0	8.0	11.0	5.0	7.0	52.0	25.0	47.0	24.0	36.0	11.0	23.0	26.0	16.0	9.0	17.0
XP_027426211.1 (+1)	6.0	12.0	5.0	11.0	20.0	12.0	14.0	12.0	31.0	11.0	31.0	42.0	36.0	20.0	29.0	24.0	22.0	6.0	14.0
XP_027439308.1 (+2)	35.0	30.0	25.0	39.0	30.0	33.0	32.0	11.0	15.0	4.0	20.0	17.0	8.0	2.0	10.0	13.0	13.0	8.0	7.0
EXTRA_0003	18.0	17.0	23.0	20.0	19.0	22.0	20.0	17.0	10.0	18.0	11.0	22.0	11.0	14.0	17.0	14.0	18.0	29.0	27.0
XP_027426184.1	17.0	35.0	28.0	45.0	37.0	36.0	26.0	15.0	10.0	0.0	16.0	15.0	19.0	3.0	11.0	17.0	6.0	3.0	8.0
XP_027461502.1	11.0	15.0	18.0	22.0	49.0	47.0	38.0	27.0	18.0	4.0	13.0	17.0	9.0	6.0	15.0	19.0	7.0	5.0	7.0
XP_027471827.1	41.0	38.0	23.0	15.0	26.0	25.0	37.0	23.0	7.0	4.0	13.0	22.0	11.0	7.0	12.0	13.0	12.0	5.0	9.0
XP_027430800.1 (+1)	33.0	27.0	33.0	30.0	41.0	36.0	30.0	17.0	9.0	0.0	14.0	22.0	11.0	0.0	5.0	14.0	7.0	5.0	7.0
XP_027447846.1	2.0	3.6	0.0	0.3	3.0	8.9	1.0	2.0	40.0	0.0	75.6	92.7	57.4	0.0	11.8	36.7	2.7	0.0	2.0
XP_027425741.1 (+1)	14.0	25.0	26.0	51.0	50.0	46.0	24.0	23.0	3.0	0.0	18.0	13.0	2.0	0.0	8.0	14.0	11.0	3.0	7.0
XP_027473608.1 (+2)	25.0	31.0	24.0	28.0	38.0	30.0	24.0	20.0	10.9	2.0	13.0	15.0	12.0	1.0	14.0	19.0	8.0	4.0	16.0
XP_027471822.1	16.0	17.0	23.0	14.0	24.0	23.0	30.0	19.0	20.0	2.0	34.0	8.0	25.0	9.0	11.0	32.0	8.0	8.0	11.0
