AverageSpC	FracMissing
2.5789	0.1763
2.5775	0.1766
2.5658	0.1769
2.5611	0.1771
2.5518	0.1769
2.5263	0.1774
2.5263	0.1774
2.5263	0.1780
2.5263	0.1781
2.5263	0.1786
2.5263	0.1790
2.4737	0.1797
2.4737	0.1799
2.4737	0.1801
2.4737	0.1807
2.4737	0.1809
2.4737	0.1816
2.4737	0.1820
2.4737	0.1822
2.4737	0.1827
2.4737	0.1834
2.4724	0.1836
2.4211	0.1838
2.4211	0.1843
2.4211	0.1846
2.4211	0.1857
2.4211	0.1862
2.4211	0.1861
2.4202	0.1861
2.3939	0.1864
2.3684	0.1868
2.3684	0.1867
2.3684	0.1871
2.3684	0.1880
2.3684	0.1882
2.3684	0.1883
2.3684	0.1888
2.3684	0.1891
2.3684	0.1892
2.3684	0.1891
2.3158	0.1894
2.3158	0.1900
2.3158	0.1904
2.3158	0.1910
2.3158	0.1915
2.3158	0.1919
2.3158	0.1919
2.3158	0.1924
2.3158	0.1927
2.3158	0.1929
2.3158	0.1932
2.3158	0.1931
2.3158	0.1935
2.3158	0.1941
2.3158	0.1943
2.3158	0.1943
2.2632	0.1946
2.2632	0.1950
2.2632	0.1955
2.2632	0.1959
2.2632	0.1962
2.2632	0.1966
2.2632	0.1969
2.2632	0.1973
2.2539	0.1971
2.2309	0.1971
2.2119	0.1977
2.2105	0.1979
2.2105	0.1978
2.2105	0.1983
2.2105	0.1985
2.2105	0.1991
2.2105	0.1996
2.2105	0.2000
2.2105	0.2007
2.2105	0.2011
2.2105	0.2016
2.2105	0.2022
2.1855	0.2025
2.1752	0.2025
2.1744	0.2026
2.1619	0.2028
2.1579	0.2031
2.1579	0.2034
2.1579	0.2039
2.1579	0.2042
2.1579	0.2043
2.1579	0.2045
2.1579	0.2047
2.1579	0.2050
2.1579	0.2055
2.1579	0.2058
2.1579	0.2065
2.1346	0.2063
2.1192	0.2063
2.1053	0.2067
2.1053	0.2067
2.1053	0.2072
2.1053	0.2073
2.1053	0.2075
2.1053	0.2080
2.1053	0.2084
2.1053	0.2089
2.1053	0.2091
2.1053	0.2095
2.1053	0.2099
2.1053	0.2099
2.0608	0.2100
2.0526	0.2106
2.0526	0.2111
2.0526	0.2112
2.0526	0.2116
2.0526	0.2116
2.0526	0.2115
2.0526	0.2117
2.0526	0.2120
2.0526	0.2124
2.0526	0.2126
2.0526	0.2132
2.0301	0.2135
2.0173	0.2137
2.0142	0.2142
2.0000	0.2140
2.0000	0.2143
2.0000	0.2148
2.0000	0.2150
2.0000	0.2154
1.9765	0.2160
1.9745	0.2165
1.9474	0.2165
1.9474	0.2165
1.9474	0.2171
1.9474	0.2172
1.9474	0.2176
1.9474	0.2181
1.9474	0.2183
1.9474	0.2185
1.9474	0.2187
1.9474	0.2188
1.9474	0.2188
1.9474	0.2192
1.9065	0.2198
1.8947	0.2203
1.8947	0.2206
1.8947	0.2210
1.8947	0.2213
1.8947	0.2219
1.8947	0.2217
1.8947	0.2218
1.8947	0.2219
1.8947	0.2220
1.8947	0.2221
1.8947	0.2227
1.8947	0.2232
1.8842	0.2233
1.8421	0.2233
1.8421	0.2234
1.8421	0.2236
1.8421	0.2236
1.8421	0.2242
1.8421	0.2243
1.8421	0.2247
1.8421	0.2250
1.8421	0.2256
1.8421	0.2260
1.8421	0.2264
1.8421	0.2267
1.8105	0.2270
1.8026	0.2273
1.7993	0.2276
1.7895	0.2280
1.7895	0.2282
1.7895	0.2286
1.7895	0.2288
1.7895	0.2290
1.7895	0.2291
1.7895	0.2295
1.7895	0.2300
1.7895	0.2302
1.7719	0.2305
1.7688	0.2309
1.7656	0.2308
1.7483	0.2314
1.7368	0.2313
1.7368	0.2318
1.7368	0.2320
1.7368	0.2321
1.7368	0.2327
1.7368	0.2328
1.7368	0.2329
1.7368	0.2332
1.7368	0.2334
1.7368	0.2338
1.7368	0.2342
1.7368	0.2347
1.7368	0.2351
1.7368	0.2352
1.7368	0.2352
1.7368	0.2352
1.7358	0.2357
1.6994	0.2358
1.6945	0.2367
1.6842	0.2371
1.6842	0.2374
1.6842	0.2378
1.6842	0.2378
1.6842	0.2380
1.6842	0.2386
1.6842	0.2388
1.6842	0.2391
1.6842	0.2398
1.6667	0.2400
1.6462	0.2404
1.6447	0.2408
1.6316	0.2412
1.6316	0.2414
1.6316	0.2419
1.6316	0.2424
1.6316	0.2429
1.6316	0.2431
1.6316	0.2430
1.6316	0.2432
1.6316	0.2434
1.6316	0.2438
1.6316	0.2443
1.6316	0.2443
1.6316	0.2444
1.6316	0.2444
1.6316	0.2448
1.6316	0.2451
1.6316	0.2455
1.6316	0.2459
1.6316	0.2462
1.6250	0.2466
1.6181	0.2469
1.6149	0.2471
1.5801	0.2474
1.5789	0.2472
1.5789	0.2475
1.5789	0.2475
1.5789	0.2478
1.5789	0.2480
1.5789	0.2483
1.5789	0.2484
1.5789	0.2486
1.5789	0.2491
1.5789	0.2492
1.5789	0.2494
1.5789	0.2498
1.5789	0.2502
1.5789	0.2504
1.5789	0.2508
1.5789	0.2508
1.5789	0.2512
1.5544	0.2513
1.5535	0.2515
1.5520	0.2518
1.5315	0.2520
1.5263	0.2524
1.5263	0.2527
1.5263	0.2530
1.5263	0.2534
1.5263	0.2537
1.5263	0.2541
1.5263	0.2545
1.5263	0.2549
1.5263	0.2552
1.5263	0.2557
1.5263	0.2564
1.5263	0.2564
1.5263	0.2566
1.5263	0.2568
1.5263	0.2568
1.5263	0.2571
1.5188	0.2573
1.5175	0.2576
1.5169	0.2579
1.5070	0.2583
1.4868	0.2587
1.4737	0.2587
1.4737	0.2590
1.4737	0.2592
1.4737	0.2595
1.4737	0.2597
1.4737	0.2596
1.4737	0.2600
1.4737	0.2604
1.4737	0.2607
1.4737	0.2610
1.4737	0.2614
1.4737	0.2618
1.4737	0.2620
1.4737	0.2624
1.4737	0.2627
1.4697	0.2628
1.4246	0.2632
1.4219	0.2635
1.4211	0.2635
1.4211	0.2639
1.4211	0.2640
1.4211	0.2640
1.4211	0.2643
1.4211	0.2645
1.4211	0.2648
1.4211	0.2648
1.4211	0.2651
1.4211	0.2657
1.4211	0.2660
1.4211	0.2664
1.4211	0.2667
1.4211	0.2670
1.4211	0.2673
1.4211	0.2678
1.4211	0.2679
1.4211	0.2681
1.4211	0.2681
1.4211	0.2682
1.4211	0.2688
1.4211	0.2692
1.4211	0.2694
1.4175	0.2694
1.4000	0.2696
1.3877	0.2700
1.3835	0.2700
1.3684	0.2702
1.3684	0.2705
1.3684	0.2708
1.3684	0.2714
1.3684	0.2718
1.3684	0.2721
1.3684	0.2723
1.3684	0.2721
1.3684	0.2726
